OBJECTID,BIN,ST_NUMBER,ST_UNIT,UNIT_TYPE,PREDIR,ST_NAME,SUFFIX,POSTDIR,ZIP,STSEGID,USE_TYPE,MasterAddressID
1,7558530,108,201,APT,W,SOUTH,ST, ,22902, ,R,105824
2,7558530,108,202,APT,W,SOUTH,ST, ,22902, ,R,105825
3,721322436,111,,,E,WATER,ST, ,22902, ,C,87947
4,7558530,108,203,APT,W,SOUTH,ST, ,22902, ,R,105826
5,450415243,416,,, ,10TH,ST,NW,22903, ,R,87993
6,38847714,1226,H,APT, ,SMITH,ST, ,22901, ,R,88038
7,63288354,1431,,,E,HIGH,ST, ,22902, ,R,88075
8,104793213,721,,, ,BLENHEIM,AVE, ,22902, ,R,88120
9,7881935,1800,306,UNIT, ,JEFFERSON PARK,AVE, ,22903, ,R,88158
10,93501967,109,,, ,PIEDMONT,AVE,S,22903, ,R,88211
11,7260365,814,A,UNIT, ,NALLE,ST, ,22903, ,R,88308
12,357814104,1025,B,UNIT, ,PRESTON,AVE, ,22903, ,R,88452
13,118595023,1410,B,APT, ,VINE,ST, ,22902, ,R,88542
14,652683,217,,,E,JEFFERSON,ST, ,22902, ,R,88623
15,70233279,408,205B,UNIT,E,MARKET,ST, ,22902, ,C,88722
16,49210583,2111,69,APT, ,MICHIE,DR, ,22901, ,R,88820
17,390514547,512,2,#, ,15TH,ST,NW,22903, ,R,88910
18,421714930,608,,, ,LYONS,AVE, ,22902, ,R,89007
19,13937149,428,207,#, ,MONROE,LN, ,22903, ,R,89072
20,6785154,401,200,#,E,MARKET,ST, ,22902, ,C,89182
21,224912743,1845,,, ,FENDALL,AVE, ,22903, ,R,89272
22,95409549,816,,, ,HINTON,AVE, ,22902, ,C,89355
23,1474317318,126,K,UNIT, ,GARRETT,ST, ,22902, ,R,89408
24,594516670,608,B,APT, ,ST CHARLES,AVE, ,22902, ,R,89507
25,695822450,107,12,APT,W,WATER,ST, ,22902, ,R,89604
26,233012810,107,,, ,LOCUST LANE,CT, ,22901, ,R,89700
27,597116707,404,,, ,ALTAMONT,ST, ,22902, ,R,89789
28,1507518324,401,314,APT,,4TH,ST,NW,22903, ,R,89839
29,48747947,912,,, ,COLEMAN,ST, ,22901, ,R,89892
30,75688763,311,,, ,12TH,ST,NE,22902, ,R,89930
31,134306871,1806,A,UNIT, ,EASTVIEW,ST, ,22902, ,R,89968
32,701721655,221,,,E,MAIN,ST, ,22902, ,C,90022
33,114334501,1612,,, ,TRAILRIDGE,RD, ,22903, ,R,90060
34,318013782,700,,, ,NORTH,AVE, ,22901, ,R,90113
35,78478872,423,,, ,FAIRWAY,AVE, ,22902, ,R,90166
36,107043393,2417,B,APT, ,JEFFERSON PARK,AVE, ,22903, ,R,90220
37,265413264,933,,, ,HEMLOCK,LN, ,22903, ,R,90273
38,6745147,415,1,#, ,BRANDON,AVE, ,22903, ,R,90348
39,83121262,1900,8,#, ,JEFFERSON PARK,AVE, ,22903, ,R,90448
40,364914263,1728,2,#, ,ALLIED,ST, ,22903, ,C,90528
41,157811860,2101,525,APT, ,ARLINGTON,BLVD, ,22903, ,R,90605
42,7671708,1800,36,UNIT, ,JEFFERSON PARK,AVE, ,22903, ,R,90702
43,643217043,415,,, ,7TH,ST,NE,22902, ,R,90762
44,106393482,1302,B,UNIT,,CARLTON,AVE,,22902, ,R,90806
45,7797758,313,208,#, ,2ND,ST,SE,22902, ,C,90857
46,332913844,820,B,UNIT, ,CABELL,AVE, ,22903, ,R,90909
47,88451591,2104,B,APT, ,JEFFERSON PARK,AVE, ,22903, ,R,90960
48,180512131,1870,,, ,FIELD,RD, ,22903, ,R,91013
49,440815156,866,,, ,ST CHARLES,AVE, ,22902, ,R,91066
50,89771671,215,A,UNIT, ,SHAMROCK,RD, ,22903, ,R,91157
51,680621648,114,,, ,2ND,ST,NE,22902, ,C,91256
52,601716737,430,,,,1ST,ST,N,22902, ,R,105522
53,132611842,1000,,, ,EMMET,ST,N,22903, ,C,105535
54,132611569,1037,,, ,EMMET,ST,N,22903, ,C,105536
55,132611569,1107,D,UNIT, ,EMMET,ST,N,22903, ,C,105537
56,132611569,1123,A,UNIT, ,EMMET,ST,N,22903, ,C,105538
57,132611759,975,B,UNIT, ,EMMET,ST,N,22903, ,C,105539
58,186712221,1630,,, ,OXFORD,RD, ,22903, ,R,97164
59,497417425,301,2017,APT,,15TH,ST,NW,22903, ,R,97217
60,150811712,1625,,, ,GREENLEAF,LN, ,22903, ,R,97271
61,639617005,212,,, ,CREAM,ST, ,22903, ,R,97369
62,101752968,211,B,UNIT, ,STRIBLING,AVE, ,22903, ,R,97450
63,497417425,301,5021,APT,,15TH,ST,NW,22903, ,R,97518
64,1390713183,1208,,, ,PRESTON,AVE, ,22903, ,R,97571
65,150859525,228,,, ,DOUGLAS,AVE, ,22902, ,R,97625
66,317213770,810,,, ,NORTH,AVE, ,22901, ,R,97678
67,126835939,922,,, ,RAYMOND,RD, ,22902, ,R,97736
68,1446717384,142,,, ,BAYLOR,LN, ,22902, ,R,97781
69,130656507,1007,,, ,LINDEN,AVE, ,22902, ,C,97833
70,656598,122,4,APT, ,OAKHURST,CIR, ,22903, ,R,97932
71,85249109,118,,, ,GOODMAN,ST, ,22902, ,R,98014
72,83271235,107,A,UNIT, ,WASHINGTON,AVE, ,22903, ,R,98113
73,38010257,2304,A,APT, ,NORTH BERKSHIRE,RD, ,22901, ,R,98204
74,7864895,1819,202,APT, ,JEFFERSON PARK,AVE, ,22903, ,R,98292
75,49210529,2111,2,APT, ,MICHIE,DR, ,22901, ,R,98360
76,528015969,700,201B,UNIT, ,HARRIS,ST, ,22903, ,C,98405
77,382214438,1410,19,#, ,GRADY,AVE, ,22903, ,R,98451
78,112424175,810,,, ,MONTROSE,AVE, ,22902, ,R,98504
79,132611636,1105,,, ,EMMET,ST,N,22903, ,C,105540
80,204812454,622,,, ,ELIZABETH,AVE, ,22901, ,R,98550
81,31227531,1015,,, ,PEARTREE,LN, ,22901, ,R,98604
82,72110697,1700,,, ,KING MOUNTAIN,RD, ,22901, ,R,98656
83,297213767,2021,B9,APT, ,IVY,RD, ,22903, ,R,98709
84,88201822,971,,, ,2ND,ST,SE,22902, ,C,98792
85,8020992,1821,5,#, ,JEFFERSON PARK,AVE, ,22903, ,R,98890
86,104433131,811,,, ,BOLLING,AVE, ,22902, ,R,98981
87,573816498,601,,, ,PARK,ST, ,22902, ,R,99073
88,105803250,2413,B,UNIT, ,JEFFERSON PARK,AVE, ,22903, ,R,99134
89,703721211,113,100,#, ,4TH,ST,NE,22902, ,C,99179
90,81879012,1112,31K,UNIT,E,MARKET,ST, ,22902, ,C,99232
91,108033559,1530,,, ,TRAILRIDGE,RD, ,22903, ,R,99284
92,299313611,611,G04,UNIT, ,RUGBY,RD, ,22903, ,R,99321
93,319313797,1114,,, ,PRESTON,AVE, ,22903, ,R,99373
94,87241524,2205,204,#, ,FONTAINE,AVE, ,22903, ,C,99462
95,163211782,345,,, ,250,BYP, ,22901, ,I,99551
96,93489505,226,,, ,DOUGLAS,AVE, ,22902, ,R,99643
97,527315970,737,,, ,LEXINGTON,AVE, ,22902, ,R,99743
98,120165233,696,,, ,HIGHLAND,AVE, ,22903, ,R,99834
99,419818,2239,,, ,BRANDYWINE,DR, ,22901, ,R,99926
100,497417425,301,1017,APT,,15TH,ST,NW,22903, ,R,100015
101,89271622,101,,, ,NORTH BAKER,ST, ,22903, ,R,100105
102,449215234,1962,3,#, ,LEWIS MOUNTAIN,RD, ,22903, ,R,100251
103,123555579,1014,8,#, ,RIDGE,ST, ,22902, ,R,100353
104,357814152,1021,B,UNIT, ,PRESTON,AVE, ,22903, ,R,100444
105,226712766,1450,,, ,RUTLEDGE,AVE, ,22903, ,R,100534
106,132611569,1027,,, ,EMMET,ST,N,22903, ,C,105738
107,43610425,1901,,,,EMMET,ST,N,22901, ,C,105739
108,559316365,511,407,UNIT,,1ST,ST,N,22902, ,R,105740
109,559316365,511,406,UNIT,,1ST,ST,N,22902, ,R,105741
110,95562286,720,E,APT, ,PROSPECT,AVE, ,22903, ,R,103114
111,95562286,720,F,APT, ,PROSPECT,AVE, ,22903, ,R,103115
112,95562286,722,A,APT, ,PROSPECT,AVE, ,22903, ,R,103116
113,95562286,722,B,APT, ,PROSPECT,AVE, ,22903, ,R,103117
114,95562286,722,C,APT, ,PROSPECT,AVE, ,22903, ,R,103118
115,95562286,722,D,APT, ,PROSPECT,AVE, ,22903, ,R,103119
116,95562286,722,E,APT, ,PROSPECT,AVE, ,22903, ,R,103120
117,95562286,722,F,APT, ,PROSPECT,AVE, ,22903, ,R,103121
118,95562286,724,A,APT, ,PROSPECT,AVE, ,22903, ,R,103122
119,95562286,724,B,APT, ,PROSPECT,AVE, ,22903, ,R,103123
120,95562286,724,C,APT, ,PROSPECT,AVE, ,22903, ,R,103124
121,95562700,726,A,APT, ,PROSPECT,AVE, ,22903, ,R,103125
122,95562700,726,B,APT, ,PROSPECT,AVE, ,22903, ,R,103126
123,95562700,726,C,APT, ,PROSPECT,AVE, ,22903, ,R,103127
124,95562700,726,D,APT, ,PROSPECT,AVE, ,22903, ,R,103128
125,95562700,726,E,APT, ,PROSPECT,AVE, ,22903, ,R,103129
126,95562700,726,F,APT, ,PROSPECT,AVE, ,22903, ,R,103130
127,95562700,728,A,APT, ,PROSPECT,AVE, ,22903, ,R,103131
128,95562700,728,B,APT, ,PROSPECT,AVE, ,22903, ,R,103132
129,95562700,728,C,APT, ,PROSPECT,AVE, ,22903, ,R,103133
130,95562700,728,D,APT, ,PROSPECT,AVE, ,22903, ,R,103134
131,95562700,728,E,APT, ,PROSPECT,AVE, ,22903, ,R,103135
132,95562700,728,F,APT, ,PROSPECT,AVE, ,22903, ,R,103136
133,95562700,730,A,APT, ,PROSPECT,AVE, ,22903, ,R,103137
134,95562700,730,B,APT, ,PROSPECT,AVE, ,22903, ,R,103138
135,95562700,730,C,APT, ,PROSPECT,AVE, ,22903, ,R,103139
136,7123306,100,102,#, ,RIDGE,ST, ,22902, ,R,103140
137,7123306,100,403,#, ,RIDGE,ST, ,22902, ,R,103187
138,7123306,100,404,#, ,RIDGE,ST, ,22902, ,R,103188
139,7123306,100,405,#, ,RIDGE,ST, ,22902, ,R,103189
140,7123306,100,406,#, ,RIDGE,ST, ,22902, ,R,103190
141,7123306,100,407,#, ,RIDGE,ST, ,22902, ,R,103191
142,7123306,100,408,#, ,RIDGE,ST, ,22902, ,R,103192
143,7123306,100,409,#, ,RIDGE,ST, ,22902, ,R,103193
144,7123306,100,410,#, ,RIDGE,ST, ,22902, ,R,103194
145,7123306,100,412,#, ,RIDGE,ST, ,22902, ,R,103196
146,7123306,100,413,#, ,RIDGE,ST, ,22902, ,R,103197
147,7123306,100,414,#, ,RIDGE,ST, ,22902, ,R,103198
148,7123306,100,415,#, ,RIDGE,ST, ,22902, ,R,103199
149,7123306,100,416,#, ,RIDGE,ST, ,22902, ,R,103200
150,7123306,100,417,#, ,RIDGE,ST, ,22902, ,R,103201
151,7123306,100,418,#, ,RIDGE,ST, ,22902, ,R,103202
152,7123306,100,419,#, ,RIDGE,ST, ,22902, ,R,103203
153,7123306,100,420,#, ,RIDGE,ST, ,22902, ,R,103204
154,7123306,100,421,#, ,RIDGE,ST, ,22902, ,R,103205
155,7123306,100,422,#, ,RIDGE,ST, ,22902, ,R,103206
156,7123306,100,423,#, ,RIDGE,ST, ,22902, ,R,103207
157,7123306,100,301,#, ,RIDGE,ST, ,22902, ,R,103208
158,87281467,107,B,APT, ,PIEDMONT,AVE,N,22903, ,R,105742
159,86341418,109,A,UNIT, ,PIEDMONT,AVE,N,22903, ,R,105743
160,7123306,100,302,#, ,RIDGE,ST, ,22902, ,R,103209
161,7123306,100,303,#, ,RIDGE,ST, ,22902, ,R,103210
162,358214189,140,,, ,EMMET,ST,N,22903, ,C,105744
163,7123306,100,304,#, ,RIDGE,ST, ,22902, ,R,103211
164,132611569,1107,F,UNIT, ,EMMET,ST,N,22903, ,C,105745
165,132611981,945,,, ,EMMET,ST,N,22903, ,C,105746
166,107911166,1417,E,UNIT, ,EMMET,ST,N,22903, ,C,105747
167,7123306,100,305,#, ,RIDGE,ST, ,22902, ,R,103212
168,7123306,100,306,#, ,RIDGE,ST, ,22902, ,R,103213
169,7123306,100,307,#, ,RIDGE,ST, ,22902, ,R,103214
170,7123306,100,308,#, ,RIDGE,ST, ,22902, ,R,103215
171,7123306,100,309,#, ,RIDGE,ST, ,22902, ,R,103216
172,7123306,100,310,#, ,RIDGE,ST, ,22902, ,R,103217
173,7123306,100,311,#, ,RIDGE,ST, ,22902, ,R,103218
174,7123306,100,312,#, ,RIDGE,ST, ,22902, ,R,103219
175,7123306,100,313,#, ,RIDGE,ST, ,22902, ,R,103220
176,7123306,100,314,#, ,RIDGE,ST, ,22902, ,R,103221
177,7123306,100,315,#, ,RIDGE,ST, ,22902, ,R,103222
178,7123306,100,316,#, ,RIDGE,ST, ,22902, ,R,103223
179,7123306,100,317,#, ,RIDGE,ST, ,22902, ,R,103224
180,7123306,100,318,#, ,RIDGE,ST, ,22902, ,R,103225
181,7123306,100,319,#, ,RIDGE,ST, ,22902, ,R,103226
182,7123306,100,320,#, ,RIDGE,ST, ,22902, ,R,103227
183,7123306,100,321,#, ,RIDGE,ST, ,22902, ,R,103228
184,7123306,100,322,#, ,RIDGE,ST, ,22902, ,R,103229
185,7123306,100,323,#, ,RIDGE,ST, ,22902, ,R,103230
186,7123306,100,B14,UNIT, ,RIDGE,ST, ,22902, ,R,103231
187,7123306,100,B16,UNIT, ,RIDGE,ST, ,22902, ,R,103232
188,82971277,500,711,#, ,1ST,ST,S,22902, ,R,103008
189,82971277,500,713,#, ,1ST,ST,S,22902, ,R,103009
190,82971277,500,714,#, ,1ST,ST,S,22902, ,R,103010
191,82971277,500,801,#, ,1ST,ST,S,22902, ,R,103011
192,82971277,500,802,#, ,1ST,ST,S,22902, ,R,103012
193,82971277,500,803,#, ,1ST,ST,S,22902, ,R,103013
194,82971277,500,806,#, ,1ST,ST,S,22902, ,R,103014
195,82971277,500,807,#, ,1ST,ST,S,22902, ,R,103015
196,798917327,322,4,#, ,4TH,ST,SE,22902, ,R,103286
197,798917327,322,5,#, ,4TH,ST,SE,22902, ,R,103287
198,798917327,322,6,#, ,4TH,ST,SE,22902, ,R,103288
199,798917327,322,7,#, ,4TH,ST,SE,22902, ,R,103289
200,798917327,322,8,#, ,4TH,ST,SE,22902, ,R,103290
201,1419717973,1000,2-6,STE,E,MARKET,ST, ,22902, ,R,103291
202,1419717973,1000,3-1,STE,E,MARKET,ST, ,22902, ,R,103292
203,1419717973,1000,3-2,STE,E,MARKET,ST, ,22902, ,R,103293
204,1419717973,1000,3-3,STE,E,MARKET,ST, ,22902, ,R,103294
205,1419717973,1000,3-5,STE,E,MARKET,ST, ,22902, ,R,103295
206,1419717973,1000,3-6,STE,E,MARKET,ST, ,22902, ,R,103296
207,1419717973,1000,B,STE,E,MARKET,ST, ,22902, ,R,103297
208,1419717973,1000,1-1,STE,E,MARKET,ST, ,22902, ,R,103298
209,1419717973,1000,1-2,STE,E,MARKET,ST, ,22902, ,R,103299
210,1419717973,1000,1-3,STE,E,MARKET,ST, ,22902, ,R,103300
211,132611329,1207,,, ,EMMET,ST,N,22903, ,C,105748
212,1419717973,1000,1-4,STE,E,MARKET,ST, ,22902, ,R,103301
213,422814926,1021,,, ,GRADY,AVE, ,22903, ,R,105896
214,35867618,1016,,, ,LOCUST,AVE, ,22901, ,R,105960
215,92931909,630,A,APT, ,PROSPECT,AVE, ,22903, ,R,105961
216,92931909,630,B,APT, ,PROSPECT,AVE, ,22903, ,R,105962
217,185812207,1632,,, ,OXFORD,RD, ,22903, ,R,102371
218,185812207,1634,,, ,OXFORD,RD, ,22903, ,R,102372
219,104153076,2409,,, ,JEFFERSON PARK,AVE, ,22903, ,R,102373
220,7668717,911,,, ,CHERRY,AVE, ,22903, ,R,102374
221,132611329,2118,,, ,BARRACKS,RD, ,22903, ,C,102375
222,437815104,864,,, ,ST CHARLES,AVE, ,22902, ,R,102376
223,129556235,119,,, ,LODGE CREEK,CIR, ,22903, ,R,102377
224,97982358,600,,, ,BOLLING,AVE, ,22902, ,R,102378
225,98602401,810,,, ,BELMONT,AVE, ,22902, ,R,102379
226,98632437,612,,, ,BOLLING,AVE, ,22902, ,R,102380
227,99662522,824,,, ,BELMONT,AVE, ,22902, ,R,102381
228,132611329,2120,,, ,BARRACKS,RD, ,22903, ,C,102383
229,100302651,613,,, ,BLENHEIM,AVE, ,22902, ,R,102384
230,100632640,836,UP,, ,BELMONT,AVE, ,22902, ,R,102385
231,101502780,628,,, ,BLENHEIM,AVE, ,22902, ,R,102386
232,400814712,1100,,, ,HARRIS,ST, ,22903, ,C,102411
233,450015209,902,,, ,FOREST,ST, ,22903, ,R,102412
234,455415267,907,,, ,ALBEMARLE,ST, ,22903, ,R,102413
235,80678943,1206,,,E,JEFFERSON,ST, ,22902, ,R,102414
236,96911022,1286,,, ,KENWOOD,LN, ,22901, ,R,102415
237,121005250,804,,, ,RIVES,ST, ,22902, ,R,102416
238,121065279,1404,,, ,HAMPTON,ST, ,22902, ,R,102417
239,110711213,1298,,, ,KENWOOD,LN, ,22901, ,R,102418
240,113711272,1319,,, ,KENWOOD,LN, ,22901, ,R,102419
241,113811276,1321,,, ,KENWOOD,LN, ,22901, ,R,102420
242,116511284,1304,,, ,KENWOOD,LN, ,22901, ,R,102421
243,120911335,1318,,, ,KENWOOD,LN, ,22901, ,R,102422
244,25067425,1003,,, ,LOCUST,LN, ,22901, ,R,102423
245,250713051,904,,, ,LOCUST,LN, ,22901, ,R,102424
246,25647428,1206,,, ,BLAND,CIR, ,22901, ,R,102425
247,121611358,1312,,, ,KENWOOD,LN, ,22901, ,R,102426
248,125811392,1419,,, ,GROVE,RD, ,22901, ,R,102427
249,125911378,1409,,, ,GROVE,RD, ,22901, ,R,102428
250,130411443,1420,,, ,GROVE,RD, ,22901, ,R,102429
251,264413228,1024,,, ,HOLMES,AVE, ,22901, ,R,102430
252,136537156,9,,, ,MOBILE,LN, ,22903, ,R,102431
253,135777055,2729,,, ,MCELROY,DR, ,22903, ,R,102432
254,136727162,2742,,, ,MCELROY,DR, ,22903, ,R,102433
255,137587287,416,,, ,MOBILE,LN, ,22903, ,R,102434
256,90531754,1049,,, ,FOREST HILLS,AVE, ,22903, ,R,102435
257,7613625,126,1/2,UNIT, ,SHAMROCK,RD, ,22903, ,R,102436
258,86081402,508,B,APT, ,RIDGE,ST, ,22902, ,R,102437
259,62810578,2303,,, ,ANGUS,RD, ,22901, ,R,102438
260,25587430,1142,,, ,LOCUST,AVE, ,22901, ,R,102439
261,260413209,1129,,, ,LOCUST,AVE, ,22901, ,R,102440
262,130311442,1414,,, ,GROVE,RD, ,22901, ,R,102441
263,26377436,1202,,, ,BLAND,CIR, ,22901, ,R,102442
264,136617140,2744,,, ,MCELROY,DR, ,22903, ,R,102443
265,140515251,1000,,, ,ELLIOTT,AVE, ,22902, ,R,105967
266,1066472455,714,,, ,ROCK CREEK,RD, ,22903, ,R,105970
267,94211020,1623,,, ,ST ANNES,RD, ,22901, ,R,105968
268,137657286,418,,, ,MOBILE,LN, ,22903, ,R,102444
269,358514206,616,,, ,DAVIS,AVE, ,22901, ,R,105969
270,337814064,1103,,, ,ROSE HILL,DR, ,22903, ,C,102445
271,1704420047,214,,, ,9TH,ST,SW,22903, ,R,102446
272,143243853,601,,, ,ALTAVISTA,AVE, ,22902, ,R,102447
273,109823910,603,A,APT, ,ALTAVISTA,AVE, ,22902, ,R,102448
274,109823910,603,B,APT, ,ALTAVISTA,AVE, ,22902, ,R,102449
275,649920048,100,,, ,CRISPELL,DR, ,22903, ,I,102450
276,1524120105,1404,,, ,SUNRISE PARK,LN, ,22902, ,R,102451
277,910820049,2509,A,UNIT, ,PLATEAU,RD, ,22903, ,R,102452
278,1703820042,864,,, ,ESTES,ST, ,22903, ,R,102453
279,1524220106,1406,,, ,SUNRISE PARK,LN, ,22902, ,R,102454
280,1703520039,870,,, ,ESTES,ST, ,22903, ,R,102455
281,89889375,1415,,, ,CHESAPEAKE,ST, ,22902, ,R,102148
282,99072509,211,,, ,RAYMOND,AVE, ,22903, ,R,102149
283,493215627,361,A,UNIT, ,10TH,ST,NW,22903, ,R,102150
284,7864895,1819,304,APT, ,JEFFERSON PARK,AVE, ,22903, ,R,102151
285,82491206,1909,5,#, ,JEFFERSON PARK,AVE, ,22903, ,R,102152
286,711320831,513,,,E,MAIN,ST, ,22902, ,I,102153
287,159311846,1608,,, ,DEL MAR,DR, ,22903, ,R,102154
288,160911866,1606,,, ,DEL MAR,DR, ,22903, ,R,102155
289,1703420038,872,,, ,ESTES,ST, ,22903, ,R,102456
290,91081739,2511,A,UNIT, ,PLATEAU,RD, ,22903, ,R,102457
291,91081739,2511,B,UNIT, ,PLATEAU,RD, ,22903, ,R,102458
292,433215052,818,,, ,ROSE HILL,DR, ,22903, ,R,102459
293,433215052,810,100,#, ,HENRY,AVE, ,22903, ,R,102460
294,433215052,810,200,#, ,HENRY,AVE, ,22903, ,R,102461
295,433215052,810,201,#, ,HENRY,AVE, ,22903, ,R,102462
296,189719192,286,,, ,MASSIE,RD, ,22903, ,I,102463
297,1314420058,130,,, ,HARRIS,RD, ,22903, ,R,102465
298,1312920059,200,,, ,HARRIS,RD, ,22903, ,R,102466
299,306913683,817,A,UNIT, ,CABELL,AVE, ,22903, ,R,102467
300,306913683,817,B,UNIT, ,CABELL,AVE, ,22903, ,R,102468
301,574816483,117,6,#, ,ALTAMONT,CIR, ,22902, ,R,102469
302,910820049,2509,B,UNIT, ,PLATEAU,RD, ,22903, ,R,102470
303,1405719177,115,,, ,RIVERBLUFF,CIR, ,22902, ,R,102471
304,1710420014,234,,, ,HUNTLEY,AVE, ,22903, ,R,102472
305,1429720015,236,,, ,HUNTLEY,AVE, ,22903, ,R,102473
306,1407820057,123,,, ,RIVERBLUFF,CIR, ,22902, ,R,102474
307,1013120018,1520,101,#,E,MARKET,ST, ,22902, ,R,102475
308,1013120018,1520,102,#,E,MARKET,ST, ,22902, ,R,102476
309,374020062,1002,,, ,ROSE HILL,DR, ,22903, ,R,102477
310,105593316,782,,, ,PROSPECT,AVE, ,22903, ,R,102478
311,55918786,2210,A,UNIT,,NORTH BERKSHIRE,RD, ,22901, ,R,102479
312,1510518787,2210,B,UNIT,,NORTH BERKSHIRE,RD, ,22901, ,R,102480
313,1525420091,509,,, ,NASSAU,ST, ,22902, ,R,102481
314,1525320092,511,,, ,NASSAU,ST, ,22902, ,R,102482
315,1525220093,513,,, ,NASSAU,ST, ,22902, ,R,102483
316,17378134525,424, , , ,NICHOLSON,ST, ,22901, ,R,105988
317,17382134522,408, , , ,NICHOLSON,ST, ,22901, ,R,105987
318,17397139744,562, , , ,LOCHLYN HILL,DR, ,22901, ,R,106070
319,10599134927,606,B,APT, ,MONTROSE,AVE, ,22902, ,R,105990
320,14153138933,107, , , ,MORGAN,CT, ,22903, ,R,106058
321,17500138934,111, , , ,PAYNES MILL,RD, ,22902, ,R,106059
322,132706676,507,A,APT, ,HARRIS,RD, ,22903, ,R,101683
323,121725377,2518,A,UNIT, ,WILLARD,DR, ,22903, ,R,101684
324,132866693,509,A,APT, ,HARRIS,RD, ,22903, ,R,101685
325,132566658,505,B,APT, ,HARRIS,RD, ,22903, ,R,101686
326,175912058,1980,B,UNIT, ,ARLINGTON,BLVD, ,22903, ,R,101687
327,97912352,1600,A,APT, ,MULBERRY,AVE, ,22903, ,R,101688
328,595916673,411,,, ,ALTAMONT,CIR, ,22902, ,R,101689
329,185312181,1226,B,APT, ,HOLMES,AVE, ,22901, ,R,101299
330,245713005,1206,B,UNIT, ,CUTLER,LN, ,22901, ,R,101300
331,150611723,2401,65,APT, ,ARLINGTON,BLVD, ,22903, ,R,101301
332,7671786,1800,66,UNIT, ,JEFFERSON PARK,AVE, ,22903, ,R,101302
333,97529637,207,,, ,RIVERVIEW,AVE, ,22902, ,R,101303
334,427015021,705,,, ,CONCORD,AVE, ,22903, ,R,101304
335,78108857,1124,,,E,JEFFERSON,ST, ,22902, ,R,101305
336,88181518,415,,, ,AVON,ST, ,22902, ,R,101306
337,129411476,1404,,, ,MEADOWBROOK,RD, ,22903, ,R,101548
338,133311490,1372,,, ,HILLTOP,RD, ,22903, ,R,101549
339,38847683,1220,H,APT, ,SMITH,ST, ,22901, ,R,101550
340,1412016325,218,109,APT, ,14TH,ST,NW,22903, ,R,101551
341,549016079,224,602,#, ,14TH,ST,NW,22903, ,R,101552
342,6831163,100,4,#, ,COURT,SQ, ,22902, ,C,101553
343,79968937,408,A,APT, ,FAIRWAY,AVE, ,22902, ,R,101554
344,975717279,829,4,#, ,BELMONT,AVE, ,22902, ,R,101555
345,7482452,520,5,APT,E,MAIN,ST, ,22902, ,R,101699
346,558416275,232,B,APT, ,WINE,ST, ,22902, ,R,101700
347,388014533,1242,,, ,HARRIS,ST, ,22903, ,C,101701
348,343914103,922,,, ,MARSHALL,ST, ,22901, ,R,101702
349,59998234,1530,,,E,HIGH,ST, ,22902, ,C,101703
350,135317042,1710,,, ,MONTICELLO,RD, ,22902, ,C,101704
351,150611723,2401,43,APT, ,ARLINGTON,BLVD, ,22903, ,R,101705
352,343514151,606,F,UNIT, ,CABELL,AVE, ,22903, ,R,101706
353,343514151,608,F,UNIT, ,CABELL,AVE, ,22903, ,R,101707
354,13937149,428,210,#, ,MONROE,LN, ,22903, ,R,101708
355,369214313,600,A,UNIT, ,WATSON,AVE, ,22901, ,R,101709
356,99962570,719,1,APT, ,RIDGE,ST, ,22902, ,R,101710
357,82551231,403,A,UNIT, ,PATON,ST, ,22903, ,R,101711
358,62410570,2206,4,#, ,NORTH BERKSHIRE,RD, ,22901, ,R,101712
359,164011976,1885,,, ,WESTVIEW,RD, ,22903, ,R,101713
360,332913777,816,F,UNIT, ,CABELL,AVE, ,22903, ,R,101714
361,717417290,300,302,#,W,MAIN,ST, ,22902, ,C,101715
362,137367229,1633,A,APT, ,MERIDIAN,ST, ,22902, ,R,101717
363,137367229,1633,B,APT, ,MERIDIAN,ST, ,22902, ,R,101718
364,109344163,928,D,UNIT, ,1ST,ST,S,22902, ,R,101719
365,468715440,409,F,UNIT, ,13TH,ST,NW,22903, ,R,101720
366,468715440,409,1F,UNIT, ,13TH,ST,NW,22903, ,R,101721
367,525815908,201,4A,APT, ,15TH,ST,NW,22903, ,R,101722
368,132611636,1101,,, ,EMMET,ST,N,22903, ,C,105749
369,132611569,1119,,, ,EMMET,ST,N,22903, ,C,105750
370,132611569,1035,A,UNIT, ,EMMET,ST,N,22903, ,C,105751
371,149411851,1001,,, ,EMMET,ST,N,22903, ,C,105752
372,65110725,1904,,, ,EMMET,ST,N,22901, ,C,105753
373,90571761,1103,,, ,FOREST HILLS,AVE, ,22903, ,R,101723
374,113174285,1005,,, ,5TH,ST,SW,22903, ,R,101724
375,364914263,1716,,, ,ALLIED,ST, ,22903, ,C,101725
376,391514544,1220,,, ,HARRIS,ST, ,22903, ,C,101726
377,176912150,1314,,, ,OXFORD,PL, ,22903, ,R,101736
378,399914696,306,,, ,ALDERMAN,RD, ,22903, ,R,101737
379,400114674,214,,, ,CAMERON,LN, ,22903, ,R,101738
380,94082060,108,,, ,LAUREL,CIR, ,22903, ,R,101739
381,111123953,807,,, ,PROSPECT,AVE, ,22903, ,R,101740
382,94419564,421,,, ,MONTICELLO,RD, ,22902, ,C,101741
383,90959371,340,,, ,RIVERSIDE,AVE, ,22902, ,R,101742
384,559719934,724,,, ,WEST,ST, ,22903, ,R,101743
385,79628913,303,,, ,13TH,ST,NE,22902, ,R,101744
